Company_Name,Launch_URL
Captions,https://x.com/getcaptionsapp/status/1929554635544461727
Abhishek Dasgupta,https://x.com/abhshkdz/status/1932469194978922555
Alfred,https://x.com/itsalfredw/status/1915065644875411730
Anton Osika,https://x.com/antonosika/status/1948017850809270314
Y Combinator,https://x.com/ycombinator/status/1953186461848879188
Weber Wong,https://x.com/weberwongwong/status/1894794612398792974
Will Ahmed,https://x.com/willahmed/status/1920486427176898599
James Cad,https://x.com/thejamescad/status/1955339868659388418
Dylan,https://x.com/dylanottt/status/1942324855954890983
Weber Wong,https://x.com/weberwongwong/status/1894794612398792974
Laura May Wendel,https://x.com/Lauramaywendel/status/1952727329932706210
Anton Osika,https://x.com/antonosika/status/1948017850809270314
Aiswarya Sankar,https://x.com/Aiswarya_Sankar/status/1955284660822606013
Devv Mandal,https://x.com/devvmandal/status/1952737863189078492
Tarun Amasa,https://x.com/TarunAmasa/status/1953130965355905140
Dom Lucre,https://x.com/dom_lucre/status/1930377511009194271
Kuse HQ,https://x.com/kuseHQ/status/1956362632849686979
Merit Systems,https://x.com/merit_systems/status/194044112973817876
Anna Monaco,https://x.com/annarmonaco/status/1957474116640133252
Aqua Voice,https://x.com/aquavoice_/status/1958577295528272331
Adil Builds,https://x.com/adilbuilds/status/1960730479503741432
Devv AI,https://x.com/devv_ai/status/1960353809798238539
Nicho,https://x.com/nichochar/status/1958563340588081162
Samuel Beek,https://x.com/samuelbeek/status/1962543194937180371
Exa AI Labs,https://x.com/exaailabs/status/1963262700123000947
Charlie Wu,https://x.com/ccharliewu/status/1963333351622001047
Creatify AI,https://x.com/Creatify_AI/status/1963285168535613554
Audrlo,https://x.com/audrlo/status/1963540707576336452
Amjad Masad,https://x.com/amasad/status/1965800350071590966
Reve,https://x.com/reve/status/1967640858372751540
Varun Vummadi,https://x.com/varunvummadi/status/1986088112544428100
Calum Worthy,https://x.com/calumworthy/status/1988283207138324487
Karim RC,https://x.com/karim_rc/status/1995538458836959487
Rork App,https://x.com/rork_app/status/1925631069484691934
Joe Scheidler,https://x.com/Joe_Scheidler/status/1925232521173983288
CR Samra,https://x.com/crsamra/status/1948050596029952000
Kevin Lu,https://x.com/kevinlu625/status/1942252767999111250
Fable Simulation,https://x.com/fablesimulation/status/1950589974262448505
Konsti Paulus,https://x.com/konstipaulus/status/1930700980498170242
Logan K,https://x.com/OfficialLoganK/status/1952732206176112915
Book Protectors,https://x.com/bookprotectors/status/1945867105410101583
Gabriel Ramans,https://x.com/gabrielramans/status/1938286214273986783
Odyssey ML,https://x.com/odysseyml/status/1927767196756853179
OpenMind AGI,https://x.com/openmind_agi/status/1952358042722500639
Y Combinator,https://x.com/ycombinator/status/1954953186
Aibek Design,https://x.com/aibek_design/status/1957856991608512898
Dimi Reads Things,https://x.com/dimireadsthings/status/1957805267799740571
Marco Franceschetti,https://x.com/m_franceschetti/status/1957809494773088654
Prime Intellect,https://x.com/PrimeIntellect/status/1960783427948699680
Bambulab Global,https://x.com/BambulabGlobal/status/1960341939640807769
